experiment,method,condition,metric,value,units
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),asymmetric3x3_reflect,max_abs_error,5.960464477539065e-08,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(unflipped),asymmetric3x3_reflect,max_abs_error,0.5098039507865906,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),asymmetric3x3_edge,max_abs_error,5.960464477539065e-08,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(unflipped),asymmetric3x3_edge,max_abs_error,0.5098039507865906,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),asymmetric3x3_constant,max_abs_error,5.960464477539065e-08,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(unflipped),asymmetric3x3_constant,max_abs_error,0.599439799785614,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size7_sigma1.0_reflect,max_abs_error,1.1920928955078125e-07,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size7_sigma1.0_reflect,mean_abs_error,2.1536155969670293e-08,intensity
filtering,convolve2d_manual_vs_cv2.GaussianBlur,gaussian_size7_sigma1.0_reflect,max_abs_error,3.5762786865234375e-07,intensity
filtering,gaussian_blur,gaussian_size7_sigma1.0_reflect,mse_vs_original,0.0095530421209223,intensity^2
filtering,gaussian_blur,gaussian_size7_sigma1.0_reflect,edge_energy_ratio,0.6618764492461242,ratio
filtering,gaussian_blur,gaussian_size7_sigma1.0_reflect,border_band_mae_vs_reflect,0.0,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size7_sigma1.0_edge,max_abs_error,1.1920928955078125e-07,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size7_sigma1.0_edge,mean_abs_error,2.1536155969670293e-08,intensity
filtering,convolve2d_manual_vs_cv2.GaussianBlur,gaussian_size7_sigma1.0_edge,max_abs_error,3.5762786865234375e-07,intensity
filtering,gaussian_blur,gaussian_size7_sigma1.0_edge,mse_vs_original,0.0095530410787618,intensity^2
filtering,gaussian_blur,gaussian_size7_sigma1.0_edge,edge_energy_ratio,0.6619027635436162,ratio
filtering,gaussian_blur,gaussian_size7_sigma1.0_edge,border_band_mae_vs_reflect,1.288036173718865e-06,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size7_sigma1.0_constant,max_abs_error,1.1920928955078125e-07,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size7_sigma1.0_constant,mean_abs_error,2.1393308458073092e-08,intensity
filtering,convolve2d_manual_vs_cv2.GaussianBlur,gaussian_size7_sigma1.0_constant,max_abs_error,3.5762786865234375e-07,intensity
filtering,gaussian_blur,gaussian_size7_sigma1.0_constant,mse_vs_original,0.0100090547232967,intensity^2
filtering,gaussian_blur,gaussian_size7_sigma1.0_constant,edge_energy_ratio,0.7039392894939821,ratio
filtering,gaussian_blur,gaussian_size7_sigma1.0_constant,border_band_mae_vs_reflect,0.1684315353631973,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size25_sigma4.0_reflect,max_abs_error,1.132488250732422e-06,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size25_sigma4.0_reflect,mean_abs_error,1.979948081043404e-07,intensity
filtering,convolve2d_manual_vs_cv2.GaussianBlur,gaussian_size25_sigma4.0_reflect,max_abs_error,1.1920928955078125e-06,intensity
filtering,gaussian_blur,gaussian_size25_sigma4.0_reflect,mse_vs_original,0.0358718838896059,intensity^2
filtering,gaussian_blur,gaussian_size25_sigma4.0_reflect,edge_energy_ratio,0.1037100018487501,ratio
filtering,gaussian_blur,gaussian_size25_sigma4.0_reflect,border_band_mae_vs_reflect,0.0,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size25_sigma4.0_edge,max_abs_error,1.132488250732422e-06,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size25_sigma4.0_edge,mean_abs_error,1.9550761010123097e-07,intensity
filtering,convolve2d_manual_vs_cv2.GaussianBlur,gaussian_size25_sigma4.0_edge,max_abs_error,1.1920928955078125e-06,intensity
filtering,gaussian_blur,gaussian_size25_sigma4.0_edge,mse_vs_original,0.0358716699802575,intensity^2
filtering,gaussian_blur,gaussian_size25_sigma4.0_edge,edge_energy_ratio,0.1039359341968299,ratio
filtering,gaussian_blur,gaussian_size25_sigma4.0_edge,border_band_mae_vs_reflect,3.767735324800015e-05,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size25_sigma4.0_constant,max_abs_error,1.132488250732422e-06,intensity
filtering,convolve2d_manual_vs_cv2.filter2D(flipped),gaussian_size25_sigma4.0_constant,mean_abs_error,1.872181059070499e-07,intensity
filtering,convolve2d_manual_vs_cv2.GaussianBlur,gaussian_size25_sigma4.0_constant,max_abs_error,1.1920928955078125e-06,intensity
